Ident,Name,Scenery_Local_Path,Continent,Country,State,Laty,Lonx
04UT,Navajo Mountain Airport,"fs-base, 04ut-scenery",NA,US,Utah,37.00618,-110.795364
OKBK,Kuwait,"fs-base, 1-kuwait",AS,KW,Kuwait,29.2253284,47.98076
1C5,Clow Regional,"fs-base, 1c5-bolingbrook-airport",NA,US,Illinois,41.6962166,-88.12922
1RL,Point Roberts Airpark,"fs-base, 1rl",NA,US,Washington,48.97695,-123.079208
3N6,Old Bridge,"fs-base, 3N6-Old Bridge Airport",NA,US,New Jersey,40.3283958,-74.35087
4M7,Russellville-Logan County,"fs-base, 4m7, airmapper-airport-4m7-russellville",NA,US,Kentucky,36.79968,-86.81
7WA5,Stuart Island Airpark,"fs-base, 7wa5",NA,US,Washington,48.6734352,-123.175743
MMAA,General Juan N. Alvarez,"fs-base, acasim-airport-mmaa-fix",NA,MX,,16.7570858,-99.75378
EGLM,White Waltham,"fs-base, addparking_eglm",EU,GB,England,51.50053,-0.7666831
SBPK,Aeroporto De Pelotas,"fs-base, Aeroporto - BR RS SBPK LataVoadora MSFS",SA,BR,Rio Grande Do Sul,-31.7162247,-52.33022
EDLP,Paderborn/Lippstadt,"fs-base, aerosoft-paderborn",EU,DE,North Rhine-Westphalia,51.61409,8.616317
VOAT,Agatti Airport,agatti,AS,IN,Lakshwadeep,10.82506,72.17629
LISW,Campo Volo San Felice,"fs-base, aiport-lisw",EU,IT,Italy,44.8329964,11.12098
LEFM,Fuentemilanos,"fs-base, airhispania-airport-lefm-fuentemilanos",EU,ES,Castilla Y Leon,40.88895,-4.239163
LEVD,Valladolid-Villanubla,"airhispania-airport-levd-villanubla, jsf-levd-valladolid",EU,ES,Valladolid,41.698246,-4.862558
LETC,Matilla De Los Canos,"fs-base, airhispania-scene-letc-matilla",EU,ES,Castilla Y Leon,41.53088,-4.923134
20KT,Brushy Fork Field,airmapper-airport-20kt-brushy-fork-field,NA,US,KY,37.6746254,-86.4803848
4M7,Russellville-Logan County,"fs-base, 4m7, airmapper-airport-4m7-russellville",NA,US,Kentucky,36.79968,-86.81
M21,Muhlenberg County,"fs-base, airmapper-airport-m21-muhlenberg",NA,US,Kentucky,37.2259941,-87.15736
CAT4,Qualicum Beach Airport,"fs-base, Airport CAT4 QualicumBeach-v1.0",NA,CA,British Columbia,49.33698,-124.393333
CBS8,Alberni Valley Regional Airport,"fs-base, Airport CBS8 AlberniValley-v1.1",NA,CA,British Columbia,49.32105,-124.929581
CJQ2,Lampman Airport,"fs-base, Airport CJQ2 Lampman-v1.0",NA,CA,Saskatchewan,49.3708763,-102.760284
CJQ3,Carlyle Airport,"fs-base, Airport CJQ3 Carlyle-v1.3",NA,CA,Saskatchewan,49.6439857,-102.285721
CNV9,Quebec Neuville Airport,"fs-base, Airport CNV9 Neuville-v1.3",NA,CA,Quebec,46.7231026,-71.58273
CYBL,Campbell River Airport,"fs-base, Airport CYBL CampbellRiver-v1.1",NA,CA,British Columbia,49.9519119,-125.272896
CYCW,Chilliwack Airport,"fs-base, Airport CYCW Chilliwack-v1.2",NA,CA,British Columbia,49.1531944,-121.939468
CYPK,"Pitt Meadows ","fs-base, Airport CYPK PittMeadows-v1.3",NA,CA,British Columbia,49.213913,-122.713333
CYPS,Pemberton Airport,"fs-base, Airport CYPS Pemberton-v1.0",NA,CA,British Columbia,50.3022346,-122.737755
CYSE,Squamish Airport,"fs-base, Airport CYSE Squamish-v1.0",NA,CA,British Columbia,49.7821655,-123.161942
