
[28.11.2020 01:00:55]: -------------IDENTIFYING ADDONS-------------
[28.11.2020 01:00:55]: SKIPPED 01 JD MOD Cessna 172 G1000 v1.0
[28.11.2020 01:00:55]: Navajo Mountain Airport (04UT) [04ut-scenery]: Usa, Utah
[28.11.2020 01:00:55]: Kuwait (OKBK) [1-kuwait]: Kuwait, Kuwait
[28.11.2020 01:00:55]: Clow Regional (1C5) [1c5-bolingbrook-airport]: Usa, Illinois
[28.11.2020 01:00:55]: Point Roberts Airpark (1RL) [1rl]: United States, Washington
[28.11.2020 01:00:55]: Old Bridge (3N6) [3N6-Old Bridge Airport]: United States, New Jersey
[28.11.2020 01:00:55]: Russellville-Logan County (4M7) [4m7]: , Kentucky
[28.11.2020 01:00:55]: NOT FOUND: frdorchatoperigordgene. Stopped at: frdorchatoperigordgene
[28.11.2020 01:00:55]: NOT FOUND: frdordognechateaux. Stopped at: frdordognechateaux
[28.11.2020 01:00:55]: NOT FOUND: frdordognechateaux1. Stopped at: frdordognechateaux1
[28.11.2020 01:00:55]: Stuart Island Airpark (7WA5) [7wa5]: United States, Washington
[28.11.2020 01:00:55]: NOT FOUND: a-puf-we-love-vfr-region1. Stopped at: region1
[28.11.2020 01:00:55]: SKIPPED A32NX
[28.11.2020 01:00:55]: NOT FOUND: ac1. Stopped at: ac1
[28.11.2020 01:00:55]: NOT FOUND: acao. Stopped at: acao
[28.11.2020 01:00:55]: NOT FOUND: acaoglid. Stopped at: acaoglid
[28.11.2020 01:00:55]: NOT FOUND: acaoobj. Stopped at: acaoobj
[28.11.2020 01:00:55]: General Juan N. Alvarez (MMAA) [acasim-airport-mmaa-fix]: Mexico, 
[28.11.2020 01:00:55]: White Waltham (EGLM) [addparking_eglm]: Uk, England
[28.11.2020 01:00:55]: Paderborn/Lippstadt (EDLP) [aerosoft-paderborn]: Germany, North Rhine-Westphalia
[28.11.2020 01:00:55]: Agatti Airport (VOAT) [agatti]: India, Lakshwadeep
[28.11.2020 01:00:55]: Campo Volo San Felice (LISW) [aiport-lisw]: Italy, Italy
[28.11.2020 01:00:55]: NOT FOUND: aircanada2. Stopped at: aircanada2
[28.11.2020 01:00:55]: SKIPPED aircraft-bombardier_crj_700
[28.11.2020 01:00:55]: SKIPPED aircraft-tbm930-improvement
[28.11.2020 01:00:55]: Fuentemilanos (LEFM) [airhispania-airport-lefm-fuentemilanos]: Spain, Castilla Y Leon
[28.11.2020 01:00:55]: Valladolid-Villanubla (LEVD) [airhispania-airport-levd-villanubla]: Spain, Valladolid
[28.11.2020 01:00:55]: Matilla De Los Canos (LETC) [airhispania-scene-letc-matilla]: Spain, Castilla Y Leon
[28.11.2020 01:00:55]: Brushy Fork Field (20KT) [airmapper-airport-20kt-brushy-fork-field]: , Kentucky 
[28.11.2020 01:00:55]: Russellville-Logan County (4M7) [airmapper-airport-4m7-russellville]: , Kentucky
[28.11.2020 01:00:55]: Muhlenberg County (M21) [airmapper-airport-m21-muhlenberg]: , Kentucky
[28.11.2020 01:00:55]: Delta Heritage Airpark (CAK3) [Airport CAK3 Delta Airpark-v1.0]: Canada, Bc
